no	tarih	baslik	durum	iliski	kaynak
260	2026-06-14	Ödeme ekranı iyzico güven şeridi	IPTAL	→297	2026-07.md:190
277	2026-07-02	Slug disiplini + build guard — yayından sonra dokunulmaz	KALICI		00-devir.md:108
279	2026-07-02	Publish filtresi = güvenlik ağı; liste sadece-gelecek	KALICI		2026-07.md:175
280	2026-07-02	Gecelik cron rebuild — n8n schedule → mevcut deploy hook	AKTIF		2026-07.md:175
286	2026-07-02	Site dili Fable revizyonu + ana sayfa hero metin refresh	AKTIF		2026-07.md:193
297	2026-07-02	iyzico güven şeridi kaldırıldı — PayTR geçişi	SUPERSEDE	→364	2026-07.md:332
299	2026-07-05	Kaynak kanonu "Dört Yön, Bir Ocak"	KALICI		2026-07.md:352
307	2026-07-05	H4 kapanış standardı + mini-retreat + atölye	SUPERSEDE	→423	20-ref-site.md:170
309	2026-07-05	Faz 0 teknik paket kararları	AKTIF	→311 (kod ayağı); footer ayağı ↔364	2026-07.md:373
311	2026-07-05	Faz 0 teknik paket uygulaması	AKTIF	←309	2026-07.md:403
330	2026-07-05	Etkinlik liste dikey sapma rasyonalizasyonu	SUPERSEDE	→373	00-devir.md:12
361	2026-07-05	Seri kartları çok-zincir düzeltmesi	AKTIF		2026-07.md:517
364	2026-07	Legal metin PayTR → nötr "bankamızın sanal POS altyapısı"	AKTIF	←259,297,309	00-devir.md:12
365	2026-07	Hero CTA hedefi funnel → manifesto dar-emit id	AKTIF		00-devir.md:12
366	2026-07	Glow stop artırma denendi → banding, geri alındı	AKTIF		2026-07.md:16
373	2026-07	EtkinlikListe.astro tek kabuk — ortak bileşen	AKTIF	←330 · ⚠ EtkinlikKart hâlâ canlı, bkz B22	00-devir.md:12
381	2026-07	Sabit değer reddi — gap dahil hesaplanır	KALICI		2026-07.md:20
383	2026-07	Çift-uçlu `pencereIcinde` — kapanış DAHİL, başlangıç HARİÇ	KALICI		00-devir.md:12
384	2026-07	Statü hiyerarşisi — Dolu görünür, İptal gizli	KALICI		2026-07.md:22
411	2026-07	Liste ailesi tek gramer — dört lehçe → `.liste__oge`	KALICI		00-devir.md:11
412	2026-07	Meta-slot iptali — sağ meta etiketi kaldırıldı	AKTIF		20-ref-site.md:152
414	2026-07	KARAR 336 satır-scope revizesi — yalnız `variant='satir'`	AKTIF	←336	20-ref-site.md:156
420	2026-07	`parseRichTextLines` jenerikleştirme + alias + fallback	AKTIF		00-devir.md:11
101	2026-05-21	Repo-içi operasyonel hafıza `.claude/notes.md` + token rotation	KALICI		2026-05.md:111
102	2026-05-22	Gerçeklik spec'i ezer — plugin işi + salt-read doğrulama	KALICI		2026-05.md:117
147	2026-05-27	robots.txt + sitemap + Layout noindex prop — stealth	AKTIF		2026-05.md:2701
149	2026-05-27	Lansman Plan B — sessizce canlı, Vercel CLI flag tuzağı	AKTIF		2026-05.md:2703
153	2026-05-27	`vercel promote` CLI davranışı — yeni build tetikler	AKTIF	⚠177 çakışma (kod yorumları düzeltildi)	2026-05.md:2891
176	2026-05-31	AtesMektuplari success state ember glyph	AKTIF	dist teyitli (ember dot render oluyor)	dist / ates-mektuplari__success
177	2026-05-31	/takvim kompakt satır + tür filtresi	AKTIF	←390,391	2026-05.md:3488
178	2026-05-31	Şemsiye sayfa UX deseni içeriğe göre	AKTIF		2026-05.md:3126
186	2026-05-31	`touch-action: manipulation` + `pointerdown`	AKTIF	borç 311'de kapandı	2026-05.md:3440
240	2026-06-06	Kademeli dayanışma + askı/kor opt-in	AKTIF	B04 (kesin rakamlar açık)	2026-06.md:343
256	2026-06	GELaiL bit-bit korunur — guard'lı diff protokolü	KALICI		2026-06.md:394
257	2026-06	Bot model ayrımı — OCAK → Sonnet	ACIK-BORC	B07	2026-06.md:394
323	2026-07-05	/yolculuk nedir + ne-degildir birleşimi	AKTIF		2026-07.md:533
324	2026-07-05	/hikaye `adimiz` bloğu kısaltma + ocak-ne arkasına taşıma	AKTIF		2026-07.md:535
326	2026-07-05	/hikaye "Burada yaşar" bakım tetikleyicisi	KALICI	B08	2026-07.md:539
329	2026-07-05	EtkinlikKart tam-ekstraksiyon tek-gerçek	AKTIF		00-devir.md:13
335	2026-07-05	Kayıt bloğu düzeni — dar kart + bitişik buton + altında link	SUPERSEDE	→423	20-ref-site.md:170
346	2026-07-05	Beş desen mimarisi — raf-accordion / vitrin / …	KALICI		2026-07.md:491
363	2026-07	Ödeme hattı — PayTR/sanal POS + Vercel slug geçişi	AKTIF	←297	00-devir.md:12
390	2026-07	`/takvim#slug` ön-seçili filtre — reverse-türetme + click	AKTIF	→391	00-devir.md:12
391	2026-07	`hashchange` + `pageshow(persisted)` eki	ACIK-BORC	B09	2026-07.md:26
402	2026-07	Portre dili site kanonu	KALICI	←441-448	00-devir.md:10
429	2026-07	Buluşma kapısı sayısı ALTI → YEDİ (Yolculuk online)	KALICI	←438	00-devir.md:10
22	2026-02-11	Gelir mimarisi mantığı	KALICI		2026-02.md:38
61	2026-05	KIRPMA YASAĞI — arşiv birebir korunur, tek karakter kırpılmaz	KALICI	←88	00-devir.md:17
87	2026-05-20	"Bir Sonraki [X]" callout pattern'ı	KALICI		2026-05.md:65
90	2026-05-21	6.+7. tur metinler onaylandı — /advaita · /ekip · /iletisim	AKTIF		2026-05.md:78
92	2026-05-21	Section etiketi retrofit turu	AKTIF	→93	2026-05.md:80
100	2026-05-21	İş bölüşümü — Claude.ai / Claude Code / Cowork	KALICI		2026-05.md:103
103	2026-05-22	Brief yapıştırma disiplini — parçalı veya dosya yöntemi	KALICI		2026-05.md:118
105	2026-05-22	#21 Section Components tam — atmosfer legacy verbatim, `:global()` hibrit	AKTIF		2026-05.md:127
106	2026-05-22	#22 Brief 1 — Notion keşif + şema sapma raporu	AKTIF		2026-05.md:146
108	2026-05-22	#22 Brief 4 — plugin overline + normalizer borç temizliği	AKTIF		2026-05.md:148
109	2026-05-22	#22 Brief 5 — SonrakiBulusma + SSS canlı binding	AKTIF		2026-05.md:149
110	2026-05-22	#22 Brief 6 — Notion webhook (Yayınla checkbox)	AKTIF	←280	2026-05.md:150
111	2026-05-22	Sayfa yazım rehberi — `docs/sayfa-yazim-rehberi.md`	AKTIF		2026-05.md:151
113	2026-05-23	#23 Brief 2 — atmosfer CSS global migration	AKTIF		2026-05.md:171
117	2026-05-24	Lansman sonrası operasyonel + gelir genişlemesi planı	AKTIF		2026-05.md:193
118	2026-05-24	#25 Brief A — QA polish	AKTIF		2026-05.md:216
119	2026-05-24	#25 Brief B-E — sayfa migration	AKTIF		2026-05.md:245
120	2026-05-24	#26 Brief 0 manifesto strong hierarchy + Brief F link normalize	AKTIF		2026-05.md:371
121	2026-05-24	#26 Brief G — buluşmalar 4 sayfa page-level migration	AKTIF		2026-05.md:372
124	2026-05-24	#27 Yolculuk + Biz + İletişim odaları migration	AKTIF		2026-05.md:540
126	2026-05-26	form-anchor registry pattern + mini-cta + buyuk-vurgu	SUPERSEDE	→423 (form-anchor ayağı; iki section yaşıyor)	2026-08.md:100
127	2026-05-26	Brief F.5 push tam + Açık Kapı Notion bind fix	AKTIF		2026-05.md:1335
130	2026-05-26	Başvuru formu deseni unification — /[format]/kayit · /basvuru	AKTIF		2026-05.md:1639
131	2026-05-26	Safari hero glow banding — radial-gradient engine kısıtı	ACIK-BORC	B11	2026-05.md:1640
137	2026-05-27	Brief G.1-G.4 — DOM kanıtıyla derinleşme	AKTIF		2026-05.md:2104
138	2026-05-27	Maksimum specificity + `!important` kabulü	KALICI		2026-05.md:2274
142	2026-05-27	Brief H — /takvim sticky + `--nav-height` mimari hizalama	AKTIF		2026-05.md:2344
145	2026-05	Üçlü dosya yapısı — Pilot / Marka / Arşiv	AKTIF	→397; 455-463 ile emekliye gidiyor	00-devir.md:19
151	2026-05-28	Form-anchor success state persistence bug fix	AKTIF		2026-05.md:2931
152	2026-05-28	Bot koruma katmanı — honeypot (öncesi) / Turnstile (sonrası)	AKTIF	→194; Turnstile ayağı B12	2026-05.md:2932
154	2026-05-31	Eşik accordion mimarisi — `esik-*` whitelist 10, /sen-neredesin exclusive	AKTIF		2026-05.md#k154
161	2026-05-31	manifesto-vurgu section teknik implementasyonu	AKTIF		2026-05.md:3116
193	2026-05-31	Git iş döngüsü disiplini — production branch = `main`	KALICI	←157,191	2026-05.md:3284
196	2026-06-03	Form overline = hero overline parametreleri verbatim	AKTIF		2026-06.md#k196
210	2026-05-31	`ic-ses` kanonik section — glyphsiz krem akan-içi nefes	AKTIF	altın hattı →411	2026-05.md:3565
251	2026-07-02	—	TEYITSIZ	#38 dönem bloğunun ilk numarası; blok içi tekil etiket yok. Aday: "Kayıt lookup — salt-okuma, event-level kaynak" (2026-06.md:390) — DOĞRULANMADI	2026-06.md#38-blok
266	2026-06	Merge deseni — çakışma kaynağı izolasyonu	KALICI	←286	2026-06.md:407
283	2026-07-02	Seremoni görünür etiket = Yol B (jenerik "Seremoni")	AKTIF		2026-07.md:178
290	2026-07	Evre-arketip değişmez — uluslararası yolculuk kanonla birebir	KALICI		00-devir.md:14
313	2026-07-05	Açık Kapı + buluşmalar kapı yapısı	AKTIF	↔429 (kapı sayısı güncellendi)	2026-07.md:366
321	2026-07	mini-retreat format-detayları kaldırma + akış gün-bazlı	AKTIF		00-devir.md:13
345	2026-07	Kart-grid reddi	KALICI	→346	00-devir.md:13
354	2026-07-05	İçerik-sunum sınırı — Notion rich text doğal geçer	KALICI		2026-07.md:505
355	2026-07-05	Canlı-build teşhis protokolü — ADIM 0 salt-read, `dist/` gerçeği	KALICI	→419	2026-07.md:509
367	2026-07	Scroll indicator pulse → akış animasyonu, hero dibinde	AKTIF		2026-07.md:16
368	2026-07	Dip çizgisi global — plugin emit + atmosfer tek kural	AKTIF		2026-07.md:16
369	2026-07	CTA silik kor çerçeve + iOS hover-yapışma pattern'i	KALICI	←186	2026-07.md:16
370	2026-07	Ayrı ember gradyan katmanı reddi — sıcaklık tek kaynaktan	KALICI		2026-07.md:16
371	2026-07	`.hero { overflow: hidden }` kaldırıldı — empirik doğrulandı	AKTIF		2026-07.md:16
374	2026-07	`variant='kart'` dalı silindi — dikey sapma rasyonalizasyonuydu	SUPERSEDE	→373 (sarmalama; dal ölü) · kartGorsel B30	EtkinlikKart.astro:49,80
376	2026-07	Kart başlığı her yerde `span`	KALICI		2026-07.md:20
377	2026-07	Başlık birleştirme "En Yakın X" — `HOME_HEADING` silindi	AKTIF		2026-07.md:20
378	2026-07	Sahte kişiselleştirme reddi — "Sana uyan başka tarihler" atıldı	KALICI		2026-07.md:20
379	2026-07	Çizgi/kor sol-uç birleştirme + üst gri çizgi adjacent sibling	AKTIF		2026-07.md:20
380	2026-07	Baseline `li` reset — tek fix üç iş (hizasızlık + boşluk + çift-çizgi illüzyonu)	AKTIF		2026-07.md#k380
382	2026-07	Buton dili OCAK'laştırma geri alındı; 336 borcu kapandı	AKTIF	←334,336	2026-07.md:20
386	2026-07	n8n 6-haneli cron tuzağı	KALICI		2026-07.md:22
392	2026-07	Hash'e bağlı davranış eyeball'ı hard-reload ile	KALICI		2026-07.md:26
393	2026-07	/bulusmalar bölüm ayracı kor gradient — Varyant B	AKTIF		2026-07.md:26
396	2026-07	Yayın bot/Meta/n8n numara bağlama sırasına kilitli	SUPERSEDE	→518 (şart sağlandı 19 Ağu: bot Meta tarafında 905325555226'ya bağlandı, site aynı hatta — `354fb14`; enum'da "karşılandı" sınıfı yok, alan 518'e devredildi)	2026-07.md:26
397	2026-07-28	Dönem güncellemeleri referans dosyasına yerinde işlenir	AKTIF	←145; 462 ile değişecek	00-devir.md:11
399	2026-07	Rol/portre kalıbı — alan + çemberdeki an + kadının tarifi	KALICI		20-ref-icerik-dili.md:41
400	2026-07	Vurgu yerleştirme yöntemi — vurgu icat edilmez, gövdeden taşınır ve kaynağından silinir	KALICI		20-ref-icerik-dili.md#k400
401	2026-07	Vurgu tipi seçimi — ALTIN ilan / KREM `ic-ses` nefes	KALICI		20-ref-icerik-dili.md:35
407	2026-07	CSS tanısında iç içe düğüm — `del em` çözümü `color: inherit`	KALICI		20-ref-protokoller.md#k407
408	2026-07	"Kod var" ≠ "output var" — `dist`/build grep şart	KALICI	←355	20-ref-protokoller.md:161
409	2026-07	Marker-sözleşme ilkesi — brief açıkça söyler	KALICI		20-ref-site.md:196
413	2026-07	Statik/accordion ölçütü liste doğasına + ilk-açık	KALICI	←405	20-ref-site.md:154
415	2026-07	`--ember-alpha-08` featured tint tokenize + `--ray-notr`	AKTIF		20-ref-site.md:162
416	2026-07	Geçersiz DOM fix — `<summary>` içine `<h3>` konmaz	KALICI		dist: 92 <summary>, 0 heading
417	2026-07	Ölü blok temizliği — raf CSS + build-time HTML rewrite	AKTIF		20-ref-site.md:162
418	2026-07	İki-section dikey ritim — `X-intro` + `X` padding çakışması	AKTIF		20-ref-site.md:160
419	2026-07	Layout işlerinde Chrome-CC bağlantısı ADIM 0 şartı	KALICI	←355	20-ref-protokoller.md:163
421	2026-07	Placeholder binding — Notion Kayıt Soruları Açıklama	AKTIF		20-ref-site.md:186
422	2026-07	Dropdown label = etkinlik başlığı, `FORMAT_TIP` değil	KALICI		20-ref-site.md:188
425	2026-07	`KayitBtn.astro` primitive — üç mod	AKTIF		20-ref-site.md:174
426	2026-07	`mini-cta` esnek link-tüketimi	AKTIF		20-ref-site.md:176
427	2026-07	TEK GENİŞLİK GERÇEĞİ — `atmosfer.css:1538-1552` dört section	KALICI	B25 (yorum bayat)	20-ref-site.md:178
428	2026-07	Etkinlik detay kartı = `EtkinlikListe` birebir	AKTIF		20-ref-site.md:180
436	2026-07	Paralel takvim imgesi — imge var, eşzamanlılık sözü yok	KALICI		20-ref-program.md:496
446	2026-07	Liste vs karşılaştırma format deseni	KALICI		20-ref-icerik-dili.md:55
3	2026-02-11	Online versiyonlar — 5 evre için online program (PARK EDİLDİ)	SUPERSEDE	→429 (Yolculuk online 7. kapı)	2026-02.md:16
4	2026-02-11	İsim çalışması	SUPERSEDE	→14	2026-02.md:17
11	2026-02-11	Lokasyonlar	AKTIF		2026-02.md:24
12	2026-02-11	Tohumlama dönemi — Şubat → Eylül 2026	SUPERSEDE	→28→32	2026-02.md:25
23	2026-02-13	İngilizce isim — OCAK global kalıyor	KALICI		2026-02.md:42
29	2026-02-13	Online strateji — Açık Kapı + Çember ayrımı	SUPERSEDE	→45	2026-02.md:48
31	2026-02-13	Ürün/format tam haritası	AKTIF	↔429	2026-02.md:50
33	2026-02-13	Web sitesi — platform	SUPERSEDE	→50	2026-02.md:55
34	2026-02-13	Web sitesi — açılış yapısı	SUPERSEDE	→50	2026-02.md:56
53	2026-05-18	Faz ayrımı yok	KALICI		2026-05.md:21
63	2026-05-27	Şemsiye sayfa kart yapısı — Advaita + Ekip iki ana kart	AKTIF		2026-05.md:2174
65	2026-05-27	Kor'un kavramsız geçtiği paragraf italik, vurgu yok	KALICI		2026-05.md:2212
69	2026-05-19	3. tur metinler onaylandı — /felsefe · /araclar · /sen-neredesin	AKTIF		2026-05.md:44
71	2026-05-19	4. tur metinler onaylandı — seremoni · atölye · şehir · mini-retreat	AKTIF		2026-05.md:46
72	2026-05-19	Çember sayfası v2 — yıllık döngü	AKTIF		2026-05.md:47
80	2026-05-19	Atölye şablonu property — two-way relation	AKTIF		2026-05.md:55
81	2026-05-19	Veri girişi için "Tüm Alanlar" view'ı	AKTIF		2026-05.md:56
95	2026-05-21	Notion'a yükleme yöntemi — CSV (metadata) + temiz md (içerik)	AKTIF		2026-05.md:88
162	2026-06-01	Instagram handle @ocak.life → @ocak.biz	AKTIF		00-devir.md:475
169	2026-05-31	AtesMektuplariCTA strateji değişikliği	AKTIF		2026-05.md:3204
180	2026-05-31	Specificity savaşı disiplini	KALICI		2026-05.md:3248
182	2026-05-31	Yıl 1 reklam operasyonel detayı	AKTIF		2026-05.md:3228
184	2026-05-31	Paralel/fırsat listesi disiplini	KALICI		2026-05.md:3264
189	2026-05-31	Inline SVG ekleme disiplini	KALICI	←150	2026-05.md:3252
224	2026-06-05	Apps Script ölümü — squash merge `c3bcdd5`	AKTIF		2026-06.md:268
225	2026-06-05	MailerLite panel otomasyonu — kod additive, panel açık	ACIK-BORC	B14	2026-06.md:269
227	2026-06-05	Zoom otomasyonu canlı — gerçek oda + Notion link yazımı	AKTIF		2026-06.md:272
246	2026-06	Mock POST cross-site CSRF → mock form GET	AKTIF		2026-06.md:359
249	2026-06	Ölü satır sil + `setTxt` null-safe	AKTIF		2026-06.md:365
250	2026-06	Kor parantezsiz + ref-no 6 hane benzersiz	AKTIF		2026-06.md:366
306	2026-07-05	H8 "fiziksel" → "yüz yüze" sweep	AKTIF		2026-07.md:384
1	2026-02-11	Beş evre çerçevesi — İNİŞ/UYANIŞ/DURUŞ/GEÇİŞ/DÖNÜŞ	KALICI		2026-02.md:14
2	2026-02-11	Anadolu merkez — pazar stratejisi	KALICI		2026-02.md:15
5	2026-02-11	AÇILIŞ + kutsal takvim — 15 aylık	AKTIF		2026-02.md:18
6	2026-02-11	Retreat süreleri	SUPERSEDE	→443	2026-02.md:19
7	2026-02-11	Mekânla çalışmak	AKTIF		2026-02.md:20
8	2026-02-11	Aralık yapısı — retreatler arası program	AKTIF		2026-02.md:21
9	2026-02-11	Katılımcı screening / seçim süreci	AKTIF		2026-02.md:22
10	2026-02-11	İç yolculuk mimarisi — kapalı kohort	KALICI		2026-02.md:23
13	2026-02-11	Türkiye versiyonu — Anadolu Yolculuğu	KALICI		2026-02.md:26
14	2026-02-11	İsim kesinleşti — OCAK	KALICI	←4	2026-02.md:17
15	2026-02-11	Hedef kitle profili v1 — "Eşik Kadını"	SUPERSEDE	→312	2026-02.md:31
16	2026-02-11	Ekosistem mimarisi — 4 katman	KALICI		2026-02.md:32
17	2026-02-11	Araç kutusu yapısı — AL · OL · VER	KALICI		2026-02.md:33
18	2026-02-11	Marka konumlandırma çekirdeği	KALICI		2026-02.md:34
19	2026-02-11	Katman 1 — ÇEMBER içerik detayı	AKTIF		2026-02.md:35
20	2026-02-11	Katman 2 — DENEYİMLER içerik detayı	AKTIF		2026-02.md:36
21	2026-02-11	Dış uzman stratejisi — hibrit model	AKTIF	↔398	2026-02.md:37
24	2026-02-13	Domain stratejisi	SUPERSEDE	→48	2026-02.md:43
25	2026-02-13	Kadının yolculuk haritası — 9 eşik + spiral	KALICI		2026-02.md:44
26	2026-02-13	Kor metaforu — 6 katmanlı derinlik	KALICI		2026-02.md:45
27	2026-02-13	Yıl 1 abonelik modeli yok	KALICI		2026-02.md:46
28	2026-02-13	Tohumlama dönemi detaylandırması	SUPERSEDE	→32	2026-02.md:25
30	2026-02-13	Şehir stratejisi — Yıl 1	AKTIF		2026-02.md:49
32	2026-02-13	Güncellenmiş tohumlama takvimi	SUPERSEDE	→49	2026-02.md:47
35	2026-02-13	Görsel kimlik yönü	AKTIF		2026-02.md:57
36	2026-02-13	Fotoğraf çekim planı	AKTIF		2026-02.md:58
37	2026-02-13	Instagram stratejisi	AKTIF		2026-02.md:59
38	2026-02-13	Blog stratejisi — "Ateş Başı"	AKTIF		2026-02.md:60
39	2026-02-13	Site dili — sadece Türkçe	KALICI		2026-02.md:61
40	2026-02-19	OCAK Way — üç prensip + katman dozu	KALICI		2026-02.md:65
41	2026-02-19	OCAK'ın imzası — Ateş	KALICI		2026-02.md:66
42	2026-02-19	Araç kutusu — genişletilmiş 7 kategori	AKTIF		2026-02.md:67
43	2026-02-19	Çember akış formatı	AKTIF	↔305 (blok dakikaları kalktı)	2026-02.md:68
44	2026-02-19	Çember açık/kapalı hibrit model	AKTIF		2026-02.md:69
45	2026-02-13	Online strateji detaylandırması	AKTIF	←29	2026-02.md:48
46	2026-02-19	Online ağırlıklı çember modeli	AKTIF		2026-02.md:71
48	2026-02-13	Domain stratejisi — güncellenmiş	AKTIF	←24	2026-02.md:43
49	2026-02-13	Tohumlama takvimi yeniden kalibrasyonu	AKTIF	←32	2026-02.md:54
50	2026-02-13	Web sitesi — platform + açılış yapısı	SUPERSEDE	→96	2026-02.md:55
51	2026-05-18	URL yapısı — Türkçe karaktersiz, lowercase	KALICI		2026-05.md:19
52	2026-05-18	Çalışma düzeni — her sayfa ayrı sohbet	KALICI		2026-05.md:20
54	2026-05-18	Master metin iki yerde	AKTIF		2026-05.md:22
55	2026-05-18	/advaita sesi — OCAK anlatımı	KALICI		2026-05.md:23
56	2026-05-18	Otomasyon mimarisi	AKTIF		2026-05.md:27
57	2026-05-18	Kayıt ve veri etik çerçevesi	KALICI		2026-05.md:28
58	2026-05-18	Çalışma sıralaması — içerik → site → altyapı	KALICI		2026-05.md:29
59	2026-05-18	Reklam ve analytics altyapısı	AKTIF		2026-05.md:33
60	2026-05-18	Seans arşivi mimarisi	AKTIF		2026-05.md:34
70	2026-05-19	Tasarım notları sade tutulur	KALICI		2026-05.md:45
73	2026-05-19	Çember Döngüsü database	AKTIF		2026-05.md:48
74	2026-05-19	Atölye Şablonları database	AKTIF		2026-05.md:49
75	2026-05-19	Etkinlikler database genişletildi	AKTIF		2026-05.md:50
76	2026-05-19	Kayıtlar database	AKTIF		2026-05.md:51
77	2026-05-19	Etkinlikler 9 view yapısı	AKTIF		2026-05.md:52
78	2026-05-19	Yaz gündönümü — iki ayrı buluşma	AKTIF		2026-05.md:53
79	2026-05-19	Ritüel tasarımı — ilk atölye	SUPERSEDE	→509	2026-05.md:54
82	2026-05-19	Notion operasyonu — pratik prensipler	KALICI		2026-05.md:57
83	2026-05-19	Buluşmalar odası tamamlandı	AKTIF		2026-05.md:58
84	2026-05-19	Açık Kapı ücreti geçici boş (PARK EDİLDİ)	SUPERSEDE	→432	2026-05.md:59
85	2026-05-20	5. tur metinler — /takvim v2 · /yolculuk v2 · /anadolu v3	AKTIF		2026-05.md:63
86	2026-05-20	"Köz" kelimesi site dilinde yok	KALICI	←453	2026-05.md:64
88	2026-05-21	Çekirdek + arşiv ikili yapısı + tam dosya değişim modu	SUPERSEDE	→145	2026-05.md:71
89	2026-05-21	Kaan'ın sahnedeki görünmezliği	KALICI		2026-05.md:77
91	2026-05-21	/advaita meta cümlesi — "Ateşi ilk yakan. Tek taşıyıcı değil."	KALICI		2026-05.md:79
94	2026-05-21	Site mimarisi düzeltmesi — /katmanlar çıktı, /biz şemsiye	AKTIF		2026-05.md:87
107	2026-05-22	#22 Brief 2-3 — Sayfalar + Etkinlikler content layer loader'ları	AKTIF		2026-05.md:147
122	2026-05-24	#26 Brief H — /takvim ay-ay timeline + EtkinlikTakvimi	AKTIF		2026-05.md:373
128	2026-05-26	Brief F resmen kapanış — 5/5 form round-trip yeşil	AKTIF		2026-05.md:1637
129	2026-05-26	Tepe band — Brief G'ye devreden borç	SUPERSEDE	→150 (pixel kanıtı çürüttü)	2026-05.md:1638
132	2026-05-26	CC auto update fail + npm permission ops	ACIK-BORC	B15	2026-05.md:1641
133	2026-05-27	Brief G zinciri — G.1 → G.4	AKTIF		2026-05.md:2034
134	2026-05-27	atmosfer.css ana darbe	AKTIF		2026-05.md:2065
135	2026-05-27	Sohbet ortası mimari keşif	AKTIF		2026-05.md:2081
136	2026-05-27	Tasarım Notları tek-seferlik script ile çekildi	AKTIF		2026-05.md:2125
139	2026-05-27	Başvuru formu unification genişletildi	AKTIF	←130	2026-05.md:2320
140	2026-05-27	Brief G.4 — DOM kanıt + maksimum specificity	AKTIF	←138	2026-05.md:2274
